no,kecamatan,id_kec,puskesmas,kelurahan,jml_posyandu,balita_ada,bulan,tahun,total_stunting,u0_6,u6_11,u12_23,u24_59,kasus_baru,lulus,kasus_lama,total_balita,lama_0_6,lama_6_11,lama_12_23,lama_24_59,baru_0_6,baru_6_11,baru_12_23,baru_24_59,lulus_membaik_0_6,lulus_membaik_6_11,lulus_membaik_12_23,lulus_membaik_24_59,meninggal,lulus_pindah_0_6,lulus_pindah_6_11,lulus_pindah_12_23,lulus_pindah_24_59,lulus_umur_gt59,total_lulus,kode_puskesmas,latitude,longitude,luas_wilayah_km2,jumlah_penduduk,jumlah_kk,karakteristik_wilayah,sanitasi_pilar1,sanitasi_pilar2,sanitasi_pilar3,sanitasi_pilar4,sanitasi_pilar5,hamil_jarak2th,hamil_paritas,hamil_umur_lebih35th,hamil_umur_kurang20th,kunjungan_k4,kunjungan_k1,kasus_bblr,hamil_risti,ibu_hamil_total,rasio_risti,capaian_imunisasi,idl_laki,idl_perempuan,idl_total
1.0,2,,3,4,5,6.0,Januari,2022,7,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056.0,1106.0,2162.0
1.0,2,,3,4,5,6.0,Februari,2022,15,16.0,17.0,18.0,19.0,20.0,21.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134.0,1184.0,2318.0
1.0,2,,3,4,5,6.0,Maret,2022,23,24.0,25.0,26.0,27.0,28.0,29.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105.0,1092.0,2197.0
1.0,2,,3,4,5,6.0,April,2022,31,32.0,33.0,34.0,35.0,36.0,37.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110.0,1140.0,2250.0
1.0,2,,3,4,5,6.0,Mei,2022,39,40.0,41.0,42.0,43.0,44.0,45.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081.0,1211.0,2292.0
1.0,2,,3,4,5,6.0,Juni,2022,48,,,,,,,,47.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,66.0,61.0,62.0,63.0,64.0,65.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,1163.0,1242.0,2405.0
1.0,2,,3,4,5,6.0,Juli,2022,69,,,,,,,,68.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,87.0,82.0,83.0,84.0,85.0,86.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,1120.0,1190.0,2310.0
1.0,2,,3,4,5,6.0,Agustus,2022,91,,,,,,,,89.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,109.0,104.0,105.0,106.0,107.0,108.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,1335.0,1377.0,2712.0
1.0,2,,3,4,5,6.0,September,2022,115,,,,,,,,111.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,124.0,125.0,126.0,127.0,128.0,134.0,129.0,130.0,131.0,132.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,1226.0,1301.0,2527.0
1.0,2,,3,4,5,6.0,Oktober,2022,141,,,,,,,,137.0,144.0,145.0,146.0,147.0,148.0,149.0,150.0,151.0,152.0,153.0,154.0,155.0,161.0,156.0,157.0,158.0,159.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
