puskesmas,total_stunting,balita_ada,total_kasus_baru,total_lulus_unified,tren_stunting,latitude,longitude,kecamatan,jumlah_penduduk,jumlah_kk,luas_wilayah_km2,karakteristik_wilayah,sanitasi_total,sanitasi_pilar1,sanitasi_pilar2,sanitasi_pilar3,sanitasi_pilar4,sanitasi_pilar5,hamil_risti,ibu_hamil_total,rasio_risti,kunjungan_k1,kunjungan_k4,cakupan_k4,risiko_ibu_komposit,kasus_bblr,rasio_bblr,jml_posyandu,capaian_imunisasi,prevalensi_stunting,densitas_posyandu
KARANGMALANG,480,528.0,75.0,32.0,-0.052447552447552434,-7.0946,110.3344,MIJEN,14.0,5.0,10.0,,92068.4,52034.0,117504.0,127603.0,65565.0,97636.0,16.0,154.0,0.1038961038961039,154.0,154.0,1.0,0.09415584415584416,4.0,285.7142857142857,264,74.25,0.9090909090909091,18857.14285714286
PONCOL,925,14928.0,187.0,186.0,-0.5034965034965035,"-6,9794","110,4117",SEMARANG TENGAH,29.897,9.85,3.0,Perkotaan,1891.0,1452.0,2292.0,1452.0,1652.0,2607.0,64.0,176.0,0.3636363636363636,176.0,125.0,0.7102272727272727,0.2556818181818182,7.0,234.13720440177946,432,70.08333333333333,0.06196409431939979,14449.610328795532
KARANGDORO,900,17724.0,64.0,56.0,-0.13286713286713286,-6.9731,110.4379,SEMARANG TIMUR,26.431,7.156,3.0,,6633.4,7750.0,5570.0,8569.0,4486.0,6792.0,69.0,265.0,0.260377358490566,265.0,253.0,0.9547169811320755,0.2867924528301886,27.0,1021.5277515039159,324,74.75,0.05077860528097495,12258.33301804699
LAMPER TENGAH,663,14256.0,36.0,66.0,-0.6993006993006994,"-6,998","110,4364",SEMARANG SELATAN,29.912,10.183,2.0,Perkotaan,12829.8,24403.0,9054.0,10747.0,9120.0,10825.0,73.0,182.0,0.4010989010989011,182.0,174.0,0.9560439560439561,0.2664835164835165,15.0,501.4709815458679,324,64.25,0.04650673400673401,10831.773201390746
BANDARHARJO,2545,55668.0,165.0,198.0,-0.9248251748251748,"-6,9622","110,4215",SEMARANG UTARA,80.511,27.765,8.0,Perkotaan,33251.8,24937.0,28643.0,29664.0,58873.0,24142.0,400.0,1105.0,0.3619909502262443,1105.0,1084.0,0.9809954751131221,0.3180995475113122,22.0,273.2545863298183,600,74.83333333333333,0.04571746784508156,7452.397808995045
PANDANARAN,701,17412.0,67.0,145.0,-0.3636363636363636,"-6,9877","110,4146",SEMARANG SELATAN,41.912,13.957,3.0,Perkotaan,147358.2,114861.0,121990.0,108190.0,277533.0,114217.0,46.0,281.0,0.1637010676156583,281.0,188.0,0.6690391459074733,0.1476868327402135,12.0,286.31418209581983,468,81.91666666666667,0.04025959108660694,11166.253101736973
PADANGSARI,432,14148.0,42.0,37.0,0.5209790209790209,"-7,0706","110,4217",BANYUMANIK,28.674,10.236,6.0,Perkotaan,37937.8,28136.0,40963.0,30234.0,62140.0,28216.0,65.0,229.0,0.2838427947598253,229.0,218.0,0.9519650655021834,0.2838427947598253,11.0,383.6227941689335,396,55.0,0.030534351145038167,13810.420590081607
SEKARAN,816,27348.0,133.0,30.0,1.3076923076923075,"-7,0303","110,3724",GUNUNGPATI,40.159,12.255,18.0,Perkotaan,12761.2,12095.0,13881.0,11919.0,14984.0,10927.0,107.0,440.0,0.2431818181818182,440.0,407.0,0.925,0.2181818181818182,19.0,473.11935058143877,588,75.0,0.0298376480912681,14641.798849572948
KROBOKAN,352,13560.0,27.0,26.0,-0.15384615384615385,"-6,987","110,3914",SEMARANG BARAT,33.949,11.506,5.0,Perkotaan,5266.2,5436.0,7247.0,3546.0,4638.0,5464.0,117.0,209.0,0.5598086124401914,209.0,223.0,1.0669856459330143,0.4569377990430622,10.0,294.559486288256,216,74.58333333333333,0.025958702064896755,6362.484903826327
TAMBAK AJI,828,35244.0,164.0,72.0,-0.4685314685314685,"-6,9833","110,3504",NGALIYAN,45.042,14.779,7.0,Perkotaan,,,,,,,,,,,,,,,,708,,0.02349336057201226,15718.662581590515
