kecamatan,puskesmas,kelurahan,bulan,jml_posyandu,balita_ada,total_stunting,total_kasus_baru,total_lulus_unified,prevalensi_stunting,tren_stunting,capaian_imunisasi,latitude,longitude
NGALIYAN,NGALIYAN,Bambankerep,Januari,8,428.0,2,0.0,,0.004672897196261682,0.06293706293706294,98.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,Februari,8,428.0,2,,,0.004672897196261682,0.06293706293706294,99.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,Maret,8,428.0,2,,,0.004672897196261682,0.06293706293706294,100.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,April,8,428.0,2,,,0.004672897196261682,0.06293706293706294,100.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,Mei,8,428.0,2,1.0,1.0,0.004672897196261682,0.06293706293706294,100.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,Juni,8,428.0,2,0.0,0.0,0.004672897196261682,0.06293706293706294,100.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,Juli,8,428.0,1,0.0,1.0,0.002336448598130841,0.06293706293706294,100.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,Agustus,8,428.0,1,0.0,0.0,0.002336448598130841,0.06293706293706294,100.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,September,8,428.0,1,0.0,0.0,0.002336448598130841,0.06293706293706294,100.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,Oktober,8,428.0,3,2.0,0.0,0.007009345794392523,0.06293706293706294,0.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,November,8,428.0,3,0.0,0.0,0.007009345794392523,0.06293706293706294,0.0,"-6,9977","110,3462"
NGALIYAN,NGALIYAN,Bambankerep,Desember,8,428.0,3,0.0,0.0,0.007009345794392523,0.06293706293706294,0.0,"-6,9977","110,3462"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,Januari,14,1205.0,108,10.0,0.0,0.08962655601659751,-4.1923076923076925,100.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,Februari,14,1205.0,108,7.0,2.0,0.08962655601659751,-4.1923076923076925,99.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,Maret,14,1205.0,86,0.0,22.0,0.07136929460580912,-4.1923076923076925,100.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,April,14,1205.0,89,17.0,20.0,0.07385892116182573,-4.1923076923076925,100.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,Mei,14,1205.0,75,0.0,14.0,0.06224066390041494,-4.1923076923076925,100.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,Juni,14,1205.0,75,2.0,2.0,0.06224066390041494,-4.1923076923076925,100.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,Juli,14,1205.0,73,1.0,2.0,0.06058091286307054,-4.1923076923076925,99.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,Agustus,14,1205.0,70,1.0,4.0,0.058091286307053944,-4.1923076923076925,100.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,September,14,1205.0,70,3.0,3.0,0.058091286307053944,-4.1923076923076925,100.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,Oktober,14,1205.0,65,1.0,5.0,0.05394190871369295,-4.1923076923076925,0.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,November,14,1205.0,61,2.0,1.0,0.05062240663900415,-4.1923076923076925,0.0,"-6,9622","110,4215"
SEMARANG UTARA,BANDARHARJO,Bandarharjo,Desember,14,1205.0,61,5.0,2.0,0.05062240663900415,-4.1923076923076925,0.0,"-6,9622","110,4215"
GENUK,BANGETAYU,Bangetayu Kulon,Januari,15,1422.0,0,0.0,0.0,0.0,0.3006993006993007,99.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,Februari,15,1422.0,1,1.0,0.0,0.0007032348804500703,0.3006993006993007,99.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,Maret,15,1422.0,0,0.0,0.0,0.0,0.3006993006993007,99.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,April,15,1422.0,2,2.0,0.0,0.0014064697609001407,0.3006993006993007,98.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,Mei,15,1422.0,3,1.0,0.0,0.002109704641350211,0.3006993006993007,99.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,Juni,15,1422.0,3,0.0,0.0,0.002109704641350211,0.3006993006993007,95.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,Juli,15,1422.0,3,0.0,0.0,0.002109704641350211,0.3006993006993007,100.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,Agustus,15,1422.0,2,0.0,1.0,0.0014064697609001407,0.3006993006993007,100.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,September,15,1422.0,2,0.0,0.0,0.0014064697609001407,0.3006993006993007,100.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,Oktober,15,1422.0,2,1.0,1.0,0.0014064697609001407,0.3006993006993007,0.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,November,15,1422.0,2,1.0,1.0,0.0014064697609001407,0.3006993006993007,0.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Kulon,Desember,15,1422.0,6,5.0,1.0,0.004219409282700422,0.3006993006993007,0.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,Januari,11,1472.0,1,0.0,0.0,0.0006793478260869565,0.36713286713286714,99.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,Februari,11,1472.0,1,0.0,0.0,0.0006793478260869565,0.36713286713286714,99.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,Maret,11,1472.0,1,0.0,0.0,0.0006793478260869565,0.36713286713286714,99.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,April,11,1472.0,4,3.0,0.0,0.002717391304347826,0.36713286713286714,98.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,Mei,11,1472.0,5,1.0,0.0,0.0033967391304347825,0.36713286713286714,99.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,Juni,11,1472.0,5,0.0,0.0,0.0033967391304347825,0.36713286713286714,95.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,Juli,11,1472.0,5,0.0,0.0,0.0033967391304347825,0.36713286713286714,100.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,Agustus,11,1472.0,3,0.0,2.0,0.0020380434782608695,0.36713286713286714,100.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,September,11,1472.0,3,0.0,0.0,0.0020380434782608695,0.36713286713286714,100.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,Oktober,11,1472.0,3,3.0,3.0,0.0020380434782608695,0.36713286713286714,0.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,November,11,1472.0,5,2.0,0.0,0.0033967391304347825,0.36713286713286714,0.0,-6.9832,110.4766
GENUK,BANGETAYU,Bangetayu Wetan,Desember,11,1472.0,7,2.0,0.0,0.004755434782608696,0.36713286713286714,0.0,-6.9832,110.4766
SEMARANG TENGAH,PONCOL,Bangunharjo,Januari,3,99.0,8,4.0,0.0,0.08080808080808081,-0.986013986013986,92.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,Februari,3,99.0,12,4.0,0.0,0.12121212121212122,-0.986013986013986,93.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,Maret,3,99.0,10,1.0,3.0,0.10101010101010101,-0.986013986013986,95.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,April,3,99.0,10,1.0,1.0,0.10101010101010101,-0.986013986013986,87.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,Mei,3,99.0,7,0.0,3.0,0.0707070707070707,-0.986013986013986,99.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,Juni,3,99.0,6,0.0,1.0,0.06060606060606061,-0.986013986013986,98.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,Juli,3,99.0,6,0.0,0.0,0.06060606060606061,-0.986013986013986,90.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,Agustus,3,99.0,5,0.0,1.0,0.050505050505050504,-0.986013986013986,90.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,September,3,99.0,4,3.0,4.0,0.04040404040404041,-0.986013986013986,97.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,Oktober,3,99.0,0,0.0,4.0,0.0,-0.986013986013986,0.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,November,3,99.0,1,0.0,0.0,0.010101010101010102,-0.986013986013986,0.0,"-6,9794","110,4117"
SEMARANG TENGAH,PONCOL,Bangunharjo,Desember,3,99.0,1,0.0,0.0,0.010101010101010102,-0.986013986013986,0.0,"-6,9794","110,4117"
GENUK,GENUK,Banjardowoi,Januari,11,767.0,5,0.0,5.0,0.00651890482398957,-0.06993006993006992,98.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,Februari,11,767.0,12,4.0,2.0,0.01564537157757497,-0.06993006993006992,96.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,Maret,11,767.0,2,0.0,0.0,0.002607561929595828,-0.06993006993006992,95.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,April,11,767.0,3,2.0,1.0,0.003911342894393742,-0.06993006993006992,97.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,Mei,11,767.0,4,0.0,0.0,0.005215123859191656,-0.06993006993006992,98.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,Juni,11,767.0,1,0.0,0.0,0.001303780964797914,-0.06993006993006992,100.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,Juli,11,767.0,1,,0.0,0.001303780964797914,-0.06993006993006992,94.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,Agustus,11,767.0,4,0.0,0.0,0.005215123859191656,-0.06993006993006992,100.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,September,11,767.0,6,0.0,0.0,0.007822685788787484,-0.06993006993006992,99.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,Oktober,11,767.0,6,0.0,0.0,0.007822685788787484,-0.06993006993006992,0.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,November,11,767.0,5,0.0,0.0,0.00651890482398957,-0.06993006993006992,0.0,"-6,9666","110,47"
GENUK,GENUK,Banjardowoi,Desember,11,767.0,5,0.0,0.0,0.00651890482398957,-0.06993006993006992,0.0,"-6,9666","110,47"
BANYUMANIK,SRONDOL,Banyumanik,Januari,10,791.0,6,,,0.007585335018963337,0.26573426573426573,95.0,"-7,0589","110,4141"
BANYUMANIK,SRONDOL,Banyumanik,Februari,10,791.0,11,4.0,1.0,0.01390644753476612,0.26573426573426573,94.0,"-7,0589","110,4141"
BANYUMANIK,SRONDOL,Banyumanik,Maret,10,791.0,6,,,0.007585335018963337,0.26573426573426573,94.0,"-7,0589","110,4141"
BANYUMANIK,SRONDOL,Banyumanik,April,10,791.0,5,,1.0,0.006321112515802781,0.26573426573426573,94.0,"-7,0589","110,4141"
BANYUMANIK,SRONDOL,Banyumanik,Mei,10,791.0,6,,,0.007585335018963337,0.26573426573426573,95.0,"-7,0589","110,4141"
BANYUMANIK,SRONDOL,Banyumanik,Juni,10,791.0,10,4.0,0.0,0.012642225031605562,0.26573426573426573,96.0,"-7,0589","110,4141"
BANYUMANIK,SRONDOL,Banyumanik,Juli,10,791.0,7,1.0,0.0,0.008849557522123894,0.26573426573426573,100.0,"-7,0589","110,4141"
BANYUMANIK,SRONDOL,Banyumanik,Agustus,10,791.0,10,1.0,1.0,0.012642225031605562,0.26573426573426573,96.0,"-7,0589","110,4141"
BANYUMANIK,SRONDOL,Banyumanik,September,10,791.0,9,4.0,3.0,0.011378002528445006,0.26573426573426573,97.0,"-7,0589","110,4141"
BANYUMANIK,SRONDOL,Banyumanik,Oktober,10,791.0,8,3.0,1.0,0.010113780025284451,0.26573426573426573,94.0,"-7,0589","110,4141"
BANYUMANIK,SRONDOL,Banyumanik,November,10,791.0,11,4.0,1.0,0.01390644753476612,0.26573426573426573,0.0,"-7,0589","110,4141"
