NO;NAMA PUSKESMAS ;KEMAMPUAN PENYELENGGARAAN;BANGUNAN PUSKESMAS Baik;BANGUNAN PUSKESMAS Rusak Ringan;BANGUNAN PUSKESMAS Rusak Sedang;BANGUNAN PUSKESMAS Rusak Berat;RUMAH MEDIS Baik;RUMAH MEDIS Rusak Ringan;RUMAH MEDIS Rusak Sedang;RUMAH MEDIS Rusak Berat;TEMPAT TIDUR Perawatan Umum;TEMPAT TIDUR Perawatan persalinan;PUSKESMAS PEMBANTU Baik;PUSKESMAS PEMBANTU Rusak Ringan;PUSKESMAS PEMBANTU Rusak Sedang;PUSKESMAS PEMBANTU Rusak Berat
1;NGESREP;RAWAT INAP;1;0;0;0;0;0;0;0;0;6;0;0;0;0
2;PADANGSARI;NON RAWAT INAP;1;0;0;0;1;1;0;0;4;0;0;1;0;0
3;PUNDAKPAYUNG;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;0;0;0;0
4;SRONDOL; RAWAT INAP;1;0;0;0;0;0;0;0;5;2;0;0;0;0
5;CANDILAMA;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;1;0;0;0
6;KAGOK;NON RAWAT INAP;1;0;0;0;0;0;0;0;1;1;4;0;0;0
7;PEGANDAN;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;0;1;0;0
8;GAYAM SARI;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;4;0;0;0
9;BANGET AYU;RAWAT INAP;1;0;0;0;0;0;0;0;6;2;2;0;0;0
10;GENUK;RAWAT INAP;1;0;0;0;1;1;0;0;0;0;2;0;0;0
11;GUNUNGPATI;RAWAT INAP;1;0;1;0;0;2;0;0;8;2;2;1;0;0
12;SEKARAN;NON RAWAT INAP;1;0;0;0;0;1;0;1;6;3;1;0;0;0
13;KARANG MALANG;RAWAT INAP;1;0;1;0;1;0;0;0;8;2;0;0;0;0
14;MIJEN;RAWAT INAP;1;0;0;0;1;2;0;0;0;0;0;3;0;0
15;NGALIYAN;RAWAT INAP;1;0;0;0;0;0;0;0;8;1;0;2;0;0
16;PURWOYOSO;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;0;0;0;0
17;TAMBAK AJI;NON RAWAT INAP;1;0;0;0;0;1;0;1;4;1;0;0;0;0
18;TELOGOSARI KULON;RAWAT INAP;1;0;0;0;0;2;0;0;8;1;1;0;1;0
19;TELOGOSARI WETAN;NON RAWAT INAP;1;0;0;0;0;1;0;0;9;0;3;2;0;0
20;KARANG AYU;NON RAWAT INAP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;KROBOKAN;NON RAWAT INAP;1;0;0;0;0;0;0;0;1;0;0;0;0;0
22;LEBDOSARI;NON RAWAT INAP;1;0;1;0;0;0;0;0;0;0;0;0;0;0
23;MANYARAN;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;1;0;0;0
24;NGEMPLAK SIMONGAN;NON RAWAT INAP;1;0;0;0;0;0;0;0;2;0;0;0;0;0
25;LAMPER TENGAH;NON RAWAT INAP;1;0;0;0;1;1;0;0;0;0;0;0;0;0
26;PANDANARAN;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;0;0;0;0
27;MIROTO;NON RAWAT INAP;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;PONCOL;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;0;0;0;0
29;BUGANGAN;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;0;0;0;0
30;HALMAHERA;RAWAT INAP;1;0;0;0;0;0;0;1;6;4;0;0;0;0
31;KARANG DORO;RAWAT INAP;0;1;0;0;0;0;0;0;9;2;0;0;0;0
32;BANDARHARJO;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;0;1;1;0
33;BULU LOR;NON RAWAT INAP;1;0;0;0;0;0;0;0;4;0;1;0;0;0
34;KEDUNG MUNDU;NON RAWAT INAP;1;0;0;0;0;0;0;1;8;0;2;2;0;0
35;ROWOSARI;NON RAWAT INAP;1;0;0;0;0;0;0;0;0;0;2;0;0;0
36;KARANG ANYAR;NON RAWAT INAP;0;0;0;0;0;0;1;0;0;0;0;0;0;0
37;MANGKANG;RAWAT INAP;1;0;0;0;1;1;0;0;5;2;0;0;0;0
TOTAL;;12;33;1;3;0;6;13;1;4;102;29;26;13;2;0
